Dutch,English,Frequency
ik,I,7840843
je,you (informal),7242582
het,it,5233420
de,the,5171977
dat,that,4505789
is,is,4439481
een,a, one,3715858
niet,not,3678884
en,and,2800789
wat,what,2228941
van,of, from,2209684
we,we,2076863
in,in,1963658
ze,they, she,1789915
hij,he,1719998
op,on,1696645
te,to, too,1691827
zijn,to be, his, their,1681160
er,there,1615173
maar,but,1598672
die,that, those,1434016
heb,have (I form),1429701
me,me,1411318
met,with,1395328
voor,for,1389735
als,if, as,1273513
ben,am,1144955
was,was,1031488
dit,this,1012898
mijn,my,961659
om,around, for,950863
aan,on, at, to,939521
jij,you (emphatic),928107
naar,to, towards,908546
dan,than, then,904663
hier,here,892773
weet,know (I/he/she/it form),870605
kan,can,827534
geen,no, none,799250
nog,still, yet,792339
moet,must, have to,762775
wil,want,759522
wel,indeed, surely,758242
ja,yes,746431
zo,so, like that,746139
heeft,has,735768
hebben,to have,732206
hem,him,730248
goed,good,711659
nee,no,663369
waar,where, true,634748
nu,now,633525
hoe,how,632454
ga,go (I form),579630
haar,her, hair,573366
uit,out,562873
doen,to do,557710
ook,also, too,555481
over,about, over,555424
bent,are (you form),551495
mij,me,549004
gaan,to go,545717
of,or,506118
kom,come (I form),502576
zou,would,501036
al,already, all,493269
bij,at, near,490366
daar,there,482796
ons,us, our,473851
jullie,you (plural),472767
hebt,have (you form),460950
